id,省,市,区,街道,社区,X,Y,cp,L1,L2,L3
223,福建省,福州市,福清市,三山镇,鳌峰村委会/鳖峰村委会,119.534266,25.521956,"119.534266,25.481956","119.534266,25.561956","119.504266,25.521956","119.564266,25.521956"
224,福建省,福州市,福清市,一都镇,普礼村委会,119.221197,25.771017,"119.221197,25.731017","119.221197,25.811017","119.191197,25.771017","119.251197,25.771017"
221,福建省,福州市,福清市,音西街道,凤山居委会,119.375256,25.735219,"119.375256,25.695219","119.375256,25.775219","119.345256,25.735219","119.405256,25.735219"
230,福建省,莆田市,城厢区,凤凰山街道,筱塘社区居委会,119.007633,25.433259,"119.007633,25.393259","119.007633,25.473259","118.977633,25.433259","119.037633,25.433259"
232,福建省,莆田市,城厢区,华亭镇,南湖村委会,118.884553,25.363744,"118.884553,25.323744","118.884553,25.403744","118.854553,25.363744","118.914553,25.363744"
229,福建省,莆田市,城厢区,龙桥街道,太平社区居委会,119.008273,25.447221,"119.008273,25.407221","119.008273,25.487221","118.978273,25.447221","119.038273,25.447221"
231,福建省,莆田市,城厢区,霞林街道,屿上村委会,119.011145,25.426968,"119.011145,25.386968","119.011145,25.466968","118.981145,25.426968","119.041145,25.426968"
233,福建省,三明市,尤溪县,城关镇,西门居委会,118.190638,26.174647,"118.190638,26.134647","118.190638,26.214647","118.160638,26.174647","118.220638,26.174647"
234,福建省,三明市,尤溪县,西滨镇,际后村委会,118.338457,26.397305,"118.338457,26.357305","118.338457,26.437305","118.308457,26.397305","118.368457,26.397305"
235,福建省,三明市,尤溪县,西城镇,团结村委会,118.155382,26.166953,"118.155382,26.126953","118.155382,26.206953","118.125382,26.166953","118.185382,26.166953"
236,福建省,三明市,尤溪县,中仙乡,竹峰村委会,118.383566,25.952784,"118.383566,25.912784","118.383566,25.992784","118.353566,25.952784","118.413566,25.952784"
225,福建省,厦门市,湖里区,殿前街道,兴隆社区居委会,118.127478,24.515964,"118.127478,24.475964","118.127478,24.555964","118.097478,24.515964","118.157478,24.515964"
226,福建省,厦门市,湖里区,禾山街道,枋湖社区居委会,118.144392,24.517952,"118.144392,24.477952","118.144392,24.557952","118.114392,24.517952","118.174392,24.517952"
227,福建省,厦门市,湖里区,江头街道,园山社区居委会,118.137437,24.512861,"118.137437,24.472861","118.137437,24.552861","118.107437,24.512861","118.167437,24.512861"
228,福建省,厦门市,湖里区,金山街道,后坑社区居委会,118.166584,24.506287,"118.166584,24.466287","118.166584,24.546287","118.136584,24.506287","118.196584,24.506287"
581,甘肃省,临夏回族自治州,永靖县,刘家峡镇,川北居委会,103.32798,35.948668,"103.32798,35.908668","103.32798,35.988668","103.29798,35.948668","103.35798,35.948668"
582,甘肃省,临夏回族自治州,永靖县,太极镇,大川村委会,103.263278,35.981178,"103.263278,35.941178","103.263278,36.021178","103.233278,35.981178","103.293278,35.981178"
583,甘肃省,临夏回族自治州,永靖县,岘塬镇,尤塬村委会,103.278048,35.913431,"103.278048,35.873431","103.278048,35.953431","103.248048,35.913431","103.308048,35.913431"
584,甘肃省,临夏回族自治州,永靖县,新寺乡,三湾村,103.033365,36.049765,"103.033365,36.009765","103.033365,36.089765","103.003365,36.049765","103.063365,36.049765"
573,甘肃省,天水市,秦州区,东关街道办事处,仁和里社区居委会,105.738001,34.586436,"105.738001,34.546436","105.738001,34.626436","105.708001,34.586436","105.768001,34.586436"
